"mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","Rhat","n.eff","year","spp"
0.394466722710263,0.00995160481078919,0.374920052871701,0.3877684446908,0.394647450930229,0.401313264827527,0.413365738569337,1.00486570521432,670,2001,"Thymelicus lineola"
0.380340316478838,0.0093547735858152,0.361403658380591,0.374394178427778,0.380548330703961,0.386261885473074,0.39913870293779,1.0107648317292,230,2002,"Thymelicus lineola"
0.370548488690528,0.00910947142486633,0.352975454455009,0.364317287056382,0.370656206029079,0.376639804431558,0.388251680666297,1.00418940200933,680,2003,"Thymelicus lineola"
0.407778254749994,0.00870107387875469,0.390781563126253,0.401995480322347,0.408007504370443,0.413749484785173,0.424394889068918,1.01185344739246,180,2004,"Thymelicus lineola"
0.396399683664228,0.00931766858302042,0.378572748333547,0.390042496340198,0.396267712730425,0.402805611222445,0.414843872141446,1.00123579880563,3700,2005,"Thymelicus lineola"
0.375258261783025,0.00851753134578971,0.358845350275018,0.369362839153484,0.375275373441919,0.381074205147884,0.391691183786012,1.00140969461633,2800,2006,"Thymelicus lineola"
0.413853305746986,0.00909309816533712,0.396708310237496,0.407751673559886,0.413834761722026,0.420003126821018,0.431828195397888,1.02870016573494,75,2007,"Thymelicus lineola"
0.383694866649263,0.0092336969019502,0.365681718046021,0.377307807103569,0.383874131241206,0.390497306670078,0.400446282636194,1.0109755931018,200,2008,"Thymelicus lineola"
0.382362666738103,0.0091610424943767,0.364615756335366,0.376156568456061,0.382410210491906,0.388592788413707,0.400801603206413,1.03050907634495,96,2009,"Thymelicus lineola"
0.357754236898325,0.00913171762322299,0.341789962904532,0.351142000312682,0.357281939766057,0.363819838258076,0.377023550647394,1.00202713784137,1800,2010,"Thymelicus lineola"
0.351826284780708,0.00983647630645983,0.333589164143891,0.345272104492673,0.351412043946048,0.357750962918745,0.373342429539931,1.02507922252921,130,2011,"Thymelicus lineola"
0.3557880672192,0.010306017515154,0.336644921047769,0.348626330675535,0.355661677965861,0.362725450901804,0.375772822240225,1.01432860660823,160,2012,"Thymelicus lineola"
0.390343415419874,0.00976440257743229,0.371295783055473,0.384016259469293,0.390014070694581,0.396352989667278,0.410906920223426,1.02088342282761,130,2013,"Thymelicus lineola"
0.432768879075703,0.00909617600843193,0.41569664150997,0.426356258616524,0.432624113475177,0.438735627282935,0.451100783126537,1.04343503644076,51,2014,"Thymelicus lineola"
0.0230208509954514,0.021039148857961,0.00697849599909038,0.0098636990292642,0.0153924871018633,0.0274733864892906,0.0857743856507341,1.00465410043191,1000,1970,"Hesperia comma"
0.0226352290621482,0.0193016526726148,0.00703534729032533,0.00999161443454284,0.0155630409755682,0.0274733864892906,0.0808851746045282,1.00442105867428,620,1971,"Hesperia comma"
0.0205331721785093,0.0197034840133141,0.00685058059381173,0.00899671683793118,0.0131326482752739,0.0234653704572265,0.0789095922341136,1.00118618974614,4100,1972,"Hesperia comma"
0.0135593313691332,0.0102132996379967,0.00670845236572436,0.00818658593783311,0.0102190195994827,0.0145823562017652,0.0431501300473287,1.00231095980192,1200,1973,"Hesperia comma"
0.0144037282169627,0.0100772852033579,0.00673687801134183,0.00830028852030302,0.0107733196890234,0.0161599795335352,0.0458079279125627,1.00472073031841,650,1974,"Hesperia comma"
0.0232630260144478,0.015881336498198,0.00726275245526514,0.0120382609190011,0.0186187978794468,0.0297900766071149,0.0629485922199008,1.0059848608872,400,1975,"Hesperia comma"
0.0164213067646707,0.00856627311353269,0.00717747551841271,0.0103327221819526,0.0141133330490769,0.0199974416918944,0.0381614292414617,1.00074196012974,5000,1976,"Hesperia comma"
0.0101113960468044,0.00392397714629447,0.00660896260606319,0.00768913713952728,0.0088545886098438,0.0110860017908157,0.0214471496183857,1.00085000346629,5000,1977,"Hesperia comma"
0.0108348972198767,0.00418692192796538,0.00668002672010688,0.00798760641851078,0.0095652297502807,0.0123225173751759,0.0223283446325275,1.00693318267905,370,1978,"Hesperia comma"
0.00821419024655962,0.00173153051453096,0.00638155744112338,0.00714904987279523,0.00774598843076223,0.00872667320456516,0.0127773277050555,1.00374774848715,760,1979,"Hesperia comma"
0.0102002766347909,0.00340196913013581,0.00668002672010688,0.00790232948165835,0.0092667604712972,0.0114271095382254,0.0192299492602226,1.00205916800681,1500,1980,"Hesperia comma"
0.00905808406106837,0.00268358262918106,0.00655211131482824,0.00740488068335252,0.0082576500518768,0.00980684773802925,0.016387384698475,1.00195536168053,3600,1981,"Hesperia comma"
0.0124805352038079,0.00382034349164603,0.00731960374650009,0.00966471950994187,0.0117682172856351,0.0145539305561478,0.0217598317201779,1.00226867093997,1300,1982,"Hesperia comma"
0.0120683349223929,0.00477482741256213,0.00690743188504669,0.00868403473613895,0.0107591068662147,0.0140280561122244,0.0246450347503518,1.00088157186752,5000,1983,"Hesperia comma"
0.00918753414427477,0.00218496604152381,0.00662317542887193,0.00763228584829233,0.00861297062209526,0.0101621683082477,0.0147529100754701,1.00425622125601,560,1984,"Hesperia comma"
0.00814179892030804,0.0014985440650416,0.00639577026393212,0.00716326269560397,0.00774598843076223,0.00866982191333021,0.0121661763242798,1.00536210254565,430,1985,"Hesperia comma"
0.00916511647854485,0.00220691386463321,0.00660896260606319,0.00758964737986611,0.00859875779928652,0.010091104194204,0.0149945280632186,1.00674003718359,330,1986,"Hesperia comma"
0.00979377171368552,0.00253691612619454,0.00666581389729815,0.00788811665884961,0.00922412200287099,0.0110860017908157,0.0162878949388138,1.01243201716779,200,1987,"Hesperia comma"
0.00773833777709274,0.00112757529704178,0.00628206768146222,0.00700692164470786,0.00751858326582242,0.00818658593783311,0.0105885529925098,1.0018985475639,1700,1988,"Hesperia comma"
0.00805305474813734,0.00131554418042851,0.00638155744112338,0.00717747551841271,0.00776020125357097,0.00859875779928652,0.0114413223610341,1.00308145143786,840,1989,"Hesperia comma"
0.00768482867334491,0.00102519218861571,0.00629628050427095,0.00700692164470786,0.00749015762020495,0.00812973464659816,0.0103327221819526,1.00379978723509,650,1990,"Hesperia comma"
0.00748850926243069,0.000814848952718495,0.00628206768146222,0.00692164470785542,0.00734802939211757,0.00787390383604088,0.00953680410466323,1.00515504435831,450,1991,"Hesperia comma"
0.00790107616135068,0.00111493198730046,0.00639577026393212,0.0071348370499865,0.00767492431671854,0.00838556545715545,0.0107875325118322,1.00261535980903,1000,1992,"Hesperia comma"
0.0082263227281774,0.00126810833043065,0.00649526002359329,0.00733381656930883,0.00795918077289331,0.00889722707827001,0.0114413223610341,1.00372103207638,660,1993,"Hesperia comma"
0.0078404137532618,0.00101634096225586,0.00638155744112338,0.00714904987279523,0.00764649867110107,0.00831450134311176,0.0103753606503788,1.00587922732966,390,1994,"Hesperia comma"
0.00716690329268816,0.000581955961972098,0.00616836509899231,0.00675109083415057,0.00712062422717776,0.00751858326582242,0.0084424167483904,1.00288707038331,1100,1995,"Hesperia comma"
0.00728051777327702,0.000622227564099924,0.00625364203584474,0.006836367771003,0.00722011398683893,0.00764649867110107,0.00866982191333021,1.00535138337042,570,1996,"Hesperia comma"
0.00736308060379425,0.000640033619272202,0.00631049332707969,0.00692164470785542,0.00727696527807388,0.00774598843076223,0.00882616296422632,1.00630847935363,360,1997,"Hesperia comma"
0.00765796328362065,0.0007459660681085,0.00646683437797581,0.0071348370499865,0.00758964737986611,0.00808709617817194,0.0093378245853409,1.00666689629061,380,1998,"Hesperia comma"
0.00777501657956616,0.000749479895124604,0.0065378984920195,0.00723432680964767,0.00767492431671854,0.00822922440625933,0.00949416563623702,1.0107867359306,200,1999,"Hesperia comma"
0.010160494372508,0.00106501387441905,0.00818658593783311,0.00940888869938458,0.0101195298398215,0.0108443838030671,0.0123367301979846,1.0009238015256,5000,2000,"Hesperia comma"
0.00783052360661625,0.000842374173439328,0.00650947284640202,0.00723432680964767,0.00771756278514476,0.00830028852030302,0.00977842209241178,1.00352934890772,710,2001,"Hesperia comma"
0.0137566341107196,0.00151699151202012,0.0109865120311545,0.0126920507682031,0.013672735542006,0.0147529100754701,0.016927471965207,1.0056255452711,650,2002,"Hesperia comma"
0.0117934797895237,0.00130748930938524,0.00943731434500206,0.0108870222714933,0.0117113659944001,0.0126494122997769,0.0146107818473827,1.00097797307862,5000,2003,"Hesperia comma"
0.0103068259129197,0.0012529405762409,0.00803024488693699,0.00940888869938458,0.0102474452451001,0.0111002146136244,0.0129336687559516,1.00326917752401,800,2004,"Hesperia comma"
0.0106115902134032,0.00113018731881951,0.00857033215366904,0.00980684773802925,0.0105601273468924,0.0113276197785642,0.0130189456928041,1.00195481185945,1600,2005,"Hesperia comma"
0.0106105841467617,0.00115709019266986,0.00857033215366904,0.00979263491522051,0.0105601273468924,0.011341832601373,0.0131042226296565,1.00201115875554,1500,2006,"Hesperia comma"
0.0101407396571823,0.0011374650929085,0.00807288335536321,0.00932361176253216,0.010091104194204,0.0108728094486846,0.012535709717307,1.00179241322391,1800,2007,"Hesperia comma"
0.00879964145603773,0.00108634104758748,0.00700692164470786,0.00801603206412826,0.00869824755894768,0.00949416563623702,0.0111712787276681,1.00170130122393,2000,2008,"Hesperia comma"
0.0149302080060686,0.00136434602095294,0.0124504327804545,0.0139712048209895,0.0148523998351313,0.0158330846089342,0.0177518156881138,1.00111541661984,4800,2009,"Hesperia comma"
0.00890802950568374,0.000957596677186644,0.0072485396324564,0.00822922440625933,0.00884037578703506,0.00950837845904575,0.0109296607399196,1.00363603435502,680,2010,"Hesperia comma"
0.00755962453240531,0.000698022067378215,0.0064241959095496,0.00707798575875154,0.00747594479739621,0.00795918077289331,0.00911041942040108,1.00448756392998,5000,2011,"Hesperia comma"
0.00777747206425058,0.000719104915461943,0.00659474978325445,0.0072485396324564,0.00770334996233602,0.00820079876064185,0.00939467587657585,1.00308316709521,840,2012,"Hesperia comma"
0.00927888442692649,0.000904293215760983,0.00764649867110107,0.00862718344490399,0.00923833482567973,0.00987791185207294,0.0111144274364331,1.00074741315215,5000,2013,"Hesperia comma"
0.00769002952632231,0.000652785413959278,0.00659474978325445,0.00722011398683893,0.00763228584829233,0.00808709617817194,0.00912463224320982,1.00188134603977,1700,2014,"Hesperia comma"
0.523254686176709,0.122727419625514,0.321479839110846,0.435679870379056,0.509586548984494,0.5990562685655,0.812191759405336,1.00442178227001,580,1970,"Ochlodes faunus"
0.894099182977543,0.0657423827892838,0.741824073679273,0.851291234952174,0.90448983072528,0.947668386418226,0.981821799627624,1.06911044902554,35,1971,"Ochlodes faunus"
0.850465853900668,0.0942276734472859,0.648090507255646,0.782145851987663,0.861098082690203,0.933654543128811,0.98085532767663,1.01135050938506,370,1972,"Ochlodes faunus"
