"site","year","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range"
10,1982,102,132,151,132.003011774172,49
10,1983,105,117,139,121.977715982647,34
10,1984,92,113,137,119.604193826019,45
10,1985,100,137,148,133.475198236523,48
10,1986,100,136,167,138.485008908511,67
10,1987,112,138,161,139.699737262141,49
10,1988,97,138,151,133.276941375769,54
10,1989,83,116,140,116.221384328786,57
10,1990,95,117,137,119.013994039378,42
10,1991,107,136,158,138.823436217149,51
10,1992,91,121,151,122.604191267613,60
10,1993,88,137,179,138.225028562011,91
10,1994,106,130,151,132.917472312581,45
10,1995,94,116,154,124.275684579875,60
10,1996,105,126,153,132.219966193031,48
10,1997,110,131,152,132.798184976661,42
10,1998,110,131,158,136.284655892343,48
10,1999,106,122,150,129.215477208517,44
10,2000,105,122,152,128.880252727148,47
10,2001,93,122,160,127.735534617425,67
10,2002,109,136,156,138.362265540859,47
10,2003,102,130,149,130.353372119368,47
10,2004,104,131,148,131.260597657279,44
10,2005,110,130,152,133.806261411655,42
10,2006,96,116,147,122.047253897312,51
10,2007,109,137,166,138.642387116204,57
10,2008,107,130,158,135.649085769824,51
10,2009,103,133,158,132.792909306833,55
10,2011,103,130,158,134.150405500649,55
10,2014,86,119,144,121.688658141372,58
10,2015,84,116,133,114.693739850896,49
11,1976,102,114,123,114.221406743341,21
11,1977,95,124,150,125.757079503677,55
11,1978,116,116,120,119.869847691864,4
12,1976,79,86,107,92.5531638925443,28
12,1977,88,107,131,111.584948178052,43
12,1978,94,110,123,113.894742273802,29
12,1979,97,105,123,111.851063392646,26
12,1980,87,112,120,109.057968088336,33
12,1981,94,111,125,112.168275999076,31
12,1983,79,104,121,106.435736556288,42
12,1984,73,107,147,113.704983543442,74
12,1985,88,99,123,107.102073526428,35
12,1986,92,108,123,109.714752119748,31
12,1987,96,124,136,119.96527697863,40
12,1988,91,100,125,105.630555255831,34
12,1989,81,94,109,95.8406593422801,28
12,1990,76,87,106,93.61896130039,30
12,1991,101,108,124,113.446737504489,23
12,1992,82,98,121,105.373909236177,39
12,1993,81,92,116,101.53347050246,35
12,1994,87,94,124,105.800010569504,37
12,1995,88,95,113,101.201647303425,25
12,1996,86,101,113,103.937229171096,27
12,1997,47,90,129,90.869060210489,82
12,1998,96,123,127,118.143688447323,31
12,1999,87,95,109,100.154991504187,22
12,2000,78,112,146,112.691540575646,68
12,2001,87,100,109,100.277468434445,22
12,2002,77,95,123,100.57361332553,46
12,2003,83,97,122,100.621369435426,39
12,2004,83,110,138,114.225890746559,55
12,2005,94,108,130,115.257070564665,36
12,2006,72,112,144,113.108180226479,72
12,2007,60,99,144,104.29180319929,84
12,2008,84,118,144,117.288416190712,60
12,2011,51,81,106,84.5354546516335,55
12,2013,75,110,149,115.958521284608,74
12,2014,88,109,135,113.958157674264,47
13,1976,85,99,120,105.580263043928,35
13,1977,82,119,149,116.439419903974,67
13,1978,88,119,145,121.094629091106,57
13,1979,93,126,151,125.622054208242,58
13,1980,90,114,154,122.120581886142,64
13,1981,126,132,139,134.750368303947,13
13,1982,102,118,132,123.570299108812,30
13,1983,102,112,131,119.51251795364,29
13,1984,102,114,138,121.932378546271,36
13,1985,123,151,172,152.551795059277,49
13,1986,110,131,152,133.085991835071,42
13,1987,97,126,151,128.22399464425,54
13,1988,116,123,128,126.484237892969,12
13,1993,109,119,123,122.865767144555,14
13,1994,88,116,151,120.569542512503,63
13,1995,98,116,127,118.765603400419,29
13,1996,96,123,150,128.514073878358,54
13,1997,79,123,161,123.478182837668,82
14,1977,94,106,132,115.502320418827,38
14,1978,88,108,130,110.896465869615,42
14,1979,94,108,127,116.380117775849,33
14,1980,91,112,133,111.859728494519,42
14,1981,93,106,132,115.489393998336,39
14,1982,84,99,125,103.617438304199,41
14,1983,89,102,121,109.524978047846,32
14,1984,94,107,128,112.422222219376,34
14,1985,93,116,137,119.510951950384,44
14,1986,96,107,120,110.725872809713,24
14,1987,92,117,127,119.115714728089,35
14,1988,80,100,129,107.026391894406,49
14,1989,78,93,123,99.108597814589,45
14,1990,77,106,120,104.965796504153,43
14,1991,111,125,135,128.122022821006,24
14,1992,81,108,132,109.692225687175,51
14,1993,74,102,130,104.927774521938,56
14,1994,92,118,130,116.341057530792,38
14,1995,74,99,131,104.591737547052,57
14,1996,101,125,138,123.618187963885,37
14,1997,88,116,130,113.790764691965,42
14,1998,96,116,132,117.796060318134,36
14,1999,95,108,130,113.745022233239,35
14,2000,93,116,128,114.634441236152,35
14,2001,53,95,137,96.7196844721854,84
14,2003,95,113,130,114.179790167479,35
14,2004,85,106,127,110.467743302126,42
14,2005,88,102,127,110.496632404767,39
