"year","site","daynum.tenth","daynum.median","daynum.nintieth","daynum.mean","daynum.range","buffer","Surv","POINT_X","POINT_Y","EASTNESS_MEAN","EASTNESS_STD","SLOPE_MEAN","SLOPE_STD","NORTHNESS_MEAN","NORTHNESS_STD","DEM_MEAN","DEM_STD","shannon.soil","dom.soil.type","joint.dom.soil.type","A","BgRo","Br","BW","C","CW","F","G","H","M","S","R","UG","NP_A","NP_BgRo","NP_Br","NP_BW","NP_C","NP_CW","NP_F","NP_G","NP_H","NP_M","NP_S","NP_R","NP_UG","ED_A","ED_BgRo","ED_Br","ED_BW","ED_C","ED_CW","ED_F","ED_G","ED_H","ED_M","ED_S","ED_R","ED_UG","SHP_A","SHP_BgRo","SHP_Br","SHP_BW","SHP_C","SHP_CW","SHP_F","SHP_G","SHP_H","SHP_M","SHP_S","SHP_R","SHP_UG","end.lcm","LC","LM","NG","UDG","NP_LC","SHP_LC","ED_LC","NP_LM","SHP_LM","ED_LM","NP_UDG","SHP_UDG","ED_UDG","NP_NG","SHP_NG","ED_NG","LCper","DJF","MAM","JJA","SON","AV"
1976,38,81,97,113,100.150425681165,32,500,"UKBMS",355000,173000,0.33,0.38,1.94,0.87,0.77,0.39,64.15429224,49.63199852,0,4,NA,35625,0,0,134375,0,17500,0,548750,0,0,0,0,53750,3,0,0,5,0,2,0,2,0,0,0,0,4,125.757,0,0,102.0086,0,150,0,50,0,0,0,0,143.3132,1.2212,0,0,1.5454,0,1.0556,0,1.8421,0,0,0,0,1.2135,NA,215625,0,790000,0,1,1.5,0,0,0,0,0,0,0,0,0,0,27.4542276833519,5.2,8.3,17.8,10.1,10.35
1976,35,83,98,124,103.72938929455,41,500,"UKBMS",511786,270139,0.55,0.65,0.84,0.49,-0.18,0.49,45.30432994,19.2713874,0,21,NA,701875,0,0,0,0,0,0,83750,0,0,0,0,4375,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,260.7034,0,0,0,0,0,1.7059,0,0,0,0,0,0,1.2664,0,0,0,0,1.1667,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,5,86,106,126,107.2933073634,40,500,"UKBMS",520000,280000,-0.05,0.37,1.19,1.05,0.9,0.23,24.40964399,18.28504817,0,18,NA,1875,0,0,670625,0,8125,0,71875,0,0,0,0,37500,1,0,0,1,0,3,0,5,0,0,0,0,1,0,0,0,0,0,82.7509,0,265.4164,0,0,0,0,0,1.25,0,0,1.7273,0,1.1429,0,1.189,0,0,0,0,1.5,NA,0,0,790000,638750,1,1.1111,0,0,0,0,1,1.3438,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,13,85,99,120,105.580263043928,35,500,"UKBMS",318951,216136,0.25,0.67,15.46,12.29,0.33,0.62,329.2024916,137.3369872,0,4,NA,0,51875,2500,0,0,0,2500,33750,699375,0,0,0,0,0,2,1,0,0,0,1,5,1,0,0,0,0,0,406.9705,0,0,0,0,0,199.1641,0,0,0,0,0,0,1.3813,1.5,0,0,0,1.25,1.2472,1.6418,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,25,85,119,147,120.246649172933,62,500,"UKBMS",564713,269371,-0.15,0.53,0.32,0.18,-0.38,0.74,24.05978584,25.30652219,0,11,NA,425625,0,0,293125,0,18750,0,52500,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,152.0691,0,0,0,0,0,1.5094,0,0,2.4773,0,1.3636,0,1.6029,0,0,0,0,0,NA,0,0,790000,531250,1,1.1111,0,0,0,0,1,1.2034,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,22,86,103,114,105.869005840425,28,500,"UKBMS",266763,341440,0.05,0.57,12.33,10.33,-0.61,0.55,274.4757875,164.5612631,0,17,NA,141875,0,0,186250,0,10625,0,451250,0,0,0,0,0,3,0,0,2,0,2,0,4,0,0,0,0,0,184.5178,0,0,309.2329,0,719.809,0,73.9277,0,0,0,0,0,1.2817,0,0,2.4071,0,1.125,0,1.5893,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,56,81,102,130,105.58467702274,49,500,"UKBMS",476000,117000,-0.21,0.63,4.35,2.05,-0.51,0.55,92.85185448,46.3520704,0,1,NA,406875,0,0,259375,0,26875,0,96875,0,0,0,0,0,4,0,0,3,0,1,0,3,0,0,0,0,0,78.4364,0,0,123.9047,0,0,0,341.6667,0,0,0,0,0,1.2901,0,0,2.0251,0,1.6429,0,1.4278,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,23,83,105,118,105.921880234041,35,500,"UKBMS",352320,148370,0.03,0.57,11.11,5.96,-0.67,0.48,116.1743247,104.3655623,0,4,NA,180625,0,0,251250,0,0,0,358125,0,0,0,0,0,5,0,0,3,0,0,0,7,0,0,0,0,0,140.6922,0,0,102.022,0,0,0,64.4269,0,0,0,0,0,1.3859,0,0,1.7175,0,0,0,1.5916,0,0,0,0,0,NA,28750,0,790000,0,5,1.1467,131.7169,0,0,0,0,0,0,0,0,0,3.66056369111359,5.2,8.3,17.8,10.1,10.35
1976,36,25,77,137,82.4117468361141,112,500,"UKBMS",633695,316398,0.27,0.67,0.25,0.17,0.31,0.62,11.96796892,8.132612358,0,11,NA,119375,0,0,556250,0,0,92500,21875,0,0,0,0,0,2,0,0,3,0,0,1,2,0,0,0,0,0,254.951,0,0,94.3713,0,0,0,305.1639,0,0,0,0,0,1.6429,0,0,1.4278,0,0,1.88,1.2214,0,0,0,0,0,NA,0,0,790000,0,1,1.1111,0,0,0,0,0,0,0,0,0,0,0,5.2,8.3,17.8,10.1,10.35
1976,8,82,101,137,110.914540527827,55,500,"UKBMS",464299,120969,-0.41,0.61,11.67,6.64,0.32,0.6,112.9899881,44.11490825,0,1,NA,153125,0,0,241875,0,71875,0,323125,0,0,0,0,0,1,0,0,2,0,3,0,3,0,0,0,0,0,0,0,0,50,0,161.5382,0,84.3592,0,0,0,0,0,1.25,0,0,2.348,0,1.4018,0,1.8236,0,0,0,0,0,NA,183125,0,790000,0,5,1.9068,62.7491,0,0,0,0,0,0,0,0,0,23.3161991629627,5.2,8.3,17.8,10.1,10.35
