SITENO,GRIDREF,EAST,NORTH,LATITUDE,LONGITUDE,LENGTH,COUNTRY,COUNTY,HABITAT1,HABITAT2
128,NY7206,372000,506000,54.4484879514552,-2.43185561165717,3173,England,Cumbria,Dry semi/unimproved (flower rich) chalk/limestone grassland,-2
129,SZ41708460,441700,84600,50.659000044596,-1.40998082157462,1590,England,Isle of Wight,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
130,SU340090,434000,109000,50.8789375244636,-1.51666874791099,2088,England,Hampshire,Mature broadleaved woodland,
131,SU190140,419000,114000,50.9245922873865,-1.7296393000999,3030,England,Hampshire,Wet and dry heathland/ dry heather moorland,
132,TR360430,636000,143000,51.1370253627369,1.37396244314946,4926,England,Kent,Dry semi/unimproved (flower rich) chalk/limestone grassland,22
133,SY79108750,379100,87500,50.6861999635107,-2.29588722187435,3370,England,Dorset,Wet and dry heathland/ dry heather moorland,19
134,SX800780,280000,78000,50.588795416683,-3.69541258790212,1600,England,Devon,Mature broadleaved woodland,20
135,TR180640,618000,164000,51.3327319175139,1.12983329972047,3627,England,Kent,Recently felled areas/early stage woodland and coppice,31
136,SU020860,402000,186000,51.5723900700496,-1.97113833216015,3249,England,Wiltshire,Mature mixed broadleaved and coniferous woodland,22
137,SE710150,471000,415000,53.6264772515037,-0.926315180974471,3999,England,South Yorkshire,Acid bog/mire habitats,-2
138,TG420220,642000,322000,52.7410177109549,1.58555681353866,1652,England,Norfolk,Fen/swamp/marsh vegetation of inland freshwater edges,-2
139,TR110600,611000,160000,51.2994516565222,1.02712011469101,2005,England,Kent,Recently felled areas/early stage woodland and coppice,-2
140,NJ590530,359000,853000,57.5654541477481,-2.68542233048057,3093,Scotland,Grampian,Wet and dry heathland/ dry heather moorland,
141,NC070170,207000,917000,58.100142844097,-5.27539505194845,983,Scotland,Highland,Wet and dry heathland/ dry heather moorland,
142,TL120130,512000,213000,51.8039610034727,-0.375427859126647,3069,England,Hertfordshire,Intensive arable crops,18
143,NH81409640,281400,896400,57.9413954241752,-4.00355676092809,3128,Scotland,Highland,Coastal dune grassland,4
144,NT50502850,350500,628500,55.5476828449671,-2.7846252734804,1025,Scotland,Borders,Acid bog/mire habitats,17
145,SH420640,242000,364000,53.1493792545604,-4.36290773272297,,Wales,Anglesey,Coastal dune grassland,
146,NO740670,374000,767000,56.793960187545,-2.42569185196056,3600,Scotland,Grampian,Coastal dune grassland,-2
147,SJ490390,349000,339000,52.9456452868848,-2.7590684554594,2800,Wales,Clwyd,Acid bog/mire habitats,12
148,SN590540,259000,254000,52.165825260791,-4.06181417840681,2966,Wales,Dyfed,Dry semi/unimproved acid grassland,
