"SITENO"	"GRIDREF"	"EAST"	"NORTH"
"2223"	"SY960917"	"396000"	"91700"
"2226"	"SY55409920"	"355400"	"99200"
"2231"	"SY860835"	"386000"	"83500"
"2232"	"ST73401330"	"373400"	"113300"
"2234"	"ST88200730"	"388200"	"107300"
"2238"	"ST99400020"	"399400"	"100200"
"2239"	"ST79601300"	"379600"	"113000"
"2241"	"SY69507130"	"369500"	"71300"
"2242"	"SY68507250"	"368500"	"72500"
"2243"	"SY69507350"	"369500"	"73500"
"2244"	"SY540973"	"354000"	"97300"
"2245"	"SY54309740"	"354300"	"97400"
"2249"	"ST99201070"	"399200"	"110700"
"2256"	"SY990942"	"399000"	"94200"
"2257"	"SU090045"	"409000"	"104500"
"2258"	"SU04501180"	"404500"	"111800"
"2259"	"SY97208730"	"397200"	"87300"
"2260"	"SY96208690"	"396200"	"86900"
"2261"	"SY97607700"	"397600"	"77000"
"2264"	"SY64309500"	"364300"	"95000"
"2265"	"ST89402040"	"389400"	"120400"
"2300"	"SP34607590"	"434600"	"275900"
"2302"	"ST75709660"	"375700"	"196600"
"2303"	"ST75409670"	"375400"	"196700"
"2671"	"NT516854"	"351600"	"685400"
"2673"	"NT481834"	"348100"	"683400"
"2683"	"NR272697"	"127200"	"669700"
"2687"	"NT502851"	"350200"	"685100"
"2304"	"SO94503810"	"394500"	"238100"
"2305"	"SO69905460"	"369900"	"254600"
"2308"	"SK03200640"	"403200"	"306400"
"2309"	"SO78103940"	"378100"	"239400"
"2311"	"SO76203550"	"376200"	"235500"
"2312"	"SP07504890"	"407500"	"248900"
"2313"	"SJ430333"	"343000"	"333300"
"2315"	"SO57601800"	"357600"	"218000"
"2317"	"SO75704630"	"375700"	"246300"
"2318"	"SO38702950"	"338700"	"229500"
"2321"	"SO59503700"	"359500"	"237000"
"2322"	"SO590360"	"359000"	"236000"
"2323"	"SP30807880"	"430800"	"278800"
"2324"	"SO77801940"	"377800"	"219400"
"2325"	"SO740521"	"374000"	"252100"
"2327"	"SP31407950"	"431400"	"279500"
"2328"	"SO98801870"	"398800"	"218700"
"2329"	"SP25805340"	"425800"	"253400"
"2333"	"SO80306030"	"380300"	"260300"
"2334"	"SO80306040"	"380300"	"260400"
"2336"	"SO95708480"	"395700"	"284800"
"2338"	"SO86605470"	"386600"	"254700"
"2339"	"SO99202440"	"399200"	"224400"
"2340"	"SO84800280"	"384800"	"202800"
"2341"	"SP37907260"	"437900"	"272600"
"2343"	"ST740984"	"374000"	"198400"
"2344"	"SO75507590"	"375500"	"275900"
"2346"	"SO95508100"	"395500"	"281000"
"2347"	"SP38306150"	"438300"	"261500"
"2350"	"SO51503290"	"351500"	"232900"
"2352"	"SP35809370"	"435800"	"293700"
"2354"	"SO39306950"	"339300"	"269500"
"2355"	"SP070472"	"407000"	"247200"
"2360"	"SO86801200"	"386800"	"212000"
"2362"	"ST74109830"	"374100"	"198300"
"2363"	"SJ55803730"	"355800"	"337300"
"2364"	"SJ74200450"	"374200"	"304500"
"2368"	"SO93508150"	"393500"	"281500"
"2369"	"SP04308320"	"404300"	"283200"
"2371"	"SO81804100"	"381800"	"241000"
"2372"	"SJ42302320"	"342300"	"323200"
"2809"	"SP48909110"	"448900"	"291100"
"2812"	"SK18506580"	"418500"	"365800"
"2813"	"SK62506250"	"462500"	"362500"
"2815"	"SK30902900"	"430900"	"329000"
"2901"	"NZ48102530"	"448100"	"525300"
"2902"	"NZ32503850"	"432500"	"538500"
"2903"	"NZ33104170"	"433100"	"541700"
"2688"	"NT175747"	"317500"	"674700"
"2689"	"NT468830"	"346800"	"683000"
"2690"	"NT718771"	"371800"	"677100"
"2691"	"NT592774"	"359200"	"677400"
"2906"	"NZ36503550"	"436500"	"535500"
"2908"	"NZ16503150"	"416500"	"531500"
"2909"	"NZ35201370"	"435200"	"513700"
"2910"	"NZ32504850"	"432500"	"548500"
"3001"	"SN68400580"	"268400"	"205800"
"3002"	"SJ18707640"	"318700"	"376400"
"3003"	"SH76408270"	"276400"	"382700"
"3004"	"SH84603260"	"284600"	"332600"
"3005"	"SN01801110"	"201800"	"211100"
"3007"	"SH73702250"	"273700"	"322500"
"3009"	"SM93100050"	"193100"	"200500"
"3010"	"SM960060"	"196000"	"206000"
"3200"	"TL560049"	"556000"	"204900"
"3203"	"TQ66308780"	"566300"	"187800"
"3210"	"TL20509650"	"520500"	"296500"
"3211"	"TL41505500"	"541500"	"255000"
"3213"	"TQ38109570"	"538100"	"195700"
"3401"	"SE85408480"	"485400"	"484800"
"1719"	"SX76208200"	"276200"	"82000"
"3409"	"SE59705430"	"459700"	"454300"
"2915"	"NY99502050"	"399500"	"520500"
"2916"	"NZ36503570"	"436500"	"535700"
"2380"	"SJ81702150"	"381700"	"321500"
"1324"	"SU85707950"	"485700"	"179500"
"1325"	"SU88409000"	"488400"	"190000"
"3402"	"SE710755"	"471000"	"475500"
"1141"	"SD47507500"	"347500"	"475000"
"1721"	"SX82407650"	"282400"	"76500"
"2615"	"NN840670"	"284000"	"767000"
"2543"	"SS97102850"	"297100"	"128500"
"2544"	"ST330660"	"333000"	"166000"
"1428"	"TQ30202540"	"530200"	"125400"
"2917"	"NZ25603480"	"425600"	"534800"
"2383"	"SP38505960"	"438500"	"259600"
"1433"	"SU99503170"	"499500"	"131700"
"2381"	"SO37809960"	"337800"	"299600"
"2919"	"NZ45402280"	"445400"	"522800"
"2920"	"NZ180598"	"418000"	"559800"
"2616"	"NT32807270"	"332800"	"672700"
"2617"	"NS610580"	"261000"	"658000"
